Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message
175320,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402,West Queens,Winter 2009-10,12-01-2009,27.56,
212571,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402,West Queens,Annual Average 2014,12-01-2013,21.87,
602790,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402,West Queens,Summer 2018,06-01-2018,14.92,
667653,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2020,06-01-2020,12.86,
605357,386,Ozone (O3),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2018,06-01-2018,31.21,
671097,386,Ozone (O3),Mean,ppb,CD,409,Kew Gardens and Woodhaven (CD9),Summer 2020,06-01-2020,29.56,
671095,386,Ozone (O3),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Summer 2020,06-01-2020,30.66,
605329,386,Ozone (O3),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2018,06-01-2018,31.11,
121676,386,Ozone (O3),Mean,ppb,CD,309,South Crown Heights and Lefferts Gardens (CD9),2-Year Summer Average 2009-2010,06-01-2009,26.58,
165832,375,Nitrogen dioxide (NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Winter 2009-10,12-01-2009,27.32,
165950,375,Nitrogen dioxide (NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Winter 2011-12,12-01-2011,22.1,
213611,375,Nitrogen dioxide (NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Annual Average 2014,12-01-2013,19.68,
550095,375,Nitrogen dioxide (NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Winter 2016-17,12-01-2016,24.63,
550093,375,Nitrogen dioxide (NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Summer 2017,06-01-2017,13.02,
667725,375,Nitrogen dioxide (NO2),Mean,ppb,CD,311,Bensonhurst (CD11),Summer 2020,06-01-2020,10.28,
165936,375,Nitrogen dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Winter 2011-12,12-01-2011,23.67,
165818,375,Nitrogen dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Winter 2009-10,12-01-2009,25.18,
213597,375,Nitrogen dioxide (NO2),Mean,ppb,CD,209,Parkchester and Soundview (CD9),Annual Average 2014,12-01-2013,20.2,
165938,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2011-12,12-01-2011,22.67,
165820,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2009-10,12-01-2009,23.69,
213599,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Annual Average 2014,12-01-2013,19.37,
550057,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2017,06-01-2017,14.44,
603000,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2018,06-01-2018,13.27,
550059,375,Nitrogen dioxide (NO2),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Winter 2016-17,12-01-2016,26.47,
151412,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,402,West Queens,2009-2011,01-01-2009,3,
629186,652,Cardiac and respiratory deaths due to Ozone,Estimated annual rate,"per 100,000",UHF42,402,West Queens,2015-2017,01-01-2015,3.5,
154582,643,Annual vehicle miles traveled,million miles,per km2,CD,211,Morris Park and Bronxdale (CD11),2005,01-01-2005,13.6,
222531,386,Ozone (O3),Mean,ppb,UHF42,304,Upper West Side,Summer 2013,06-01-2013,26.93,
222530,386,Ozone (O3),Mean,ppb,UHF42,304,Upper West Side,Summer 2012,06-01-2012,30.17,
412522,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Annual Average 2016,12/31/2015,16.43,
131538,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,404,Bayside - Little Neck,2009-2011,01-01-2009,10.2,
518833,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,504,South Beach - Tottenville,2012-2014,01-02-2012,11.8,
628574,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,504,South Beach - Tottenville,2015-2017,01-01-2015,12.9,
518823,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,404,Bayside - Little Neck,2012-2014,01-02-2012,6.97,
628564,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,404,Bayside - Little Neck,2015-2017,01-01-2015,8.2,
130893,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",UHF42,204,East New York,2005-2007,01-01-2005,20.4,
130930,650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,"per 100,000 adults",Borough,5,Staten Island,2005-2007,01-01-2005,17.5,
602795,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404,Bayside - Little Neck,Annual Average 2018,01-01-2018,15.77,
176088,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Summer 2013,06-01-2013,7.62,
547584,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2017,06-01-2017,8.64,
177317,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204,East New York,Winter 2012-13,12-01-2012,9.57,
333962,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104,Pelham - Throgs Neck,Summer 2015,06-01-2015,9.68,
669840,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5,Staten Island,Winter 2019-20,12-01-2019,6.66,
212092,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2014,12-01-2013,8.36,
669620,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2020,06-01-2020,6.71,
173153,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2009-10,12-01-2009,9.29,
173221,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2011-12,12-01-2011,8.96,
173216,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Winter 2011-12,12-01-2011,8.32,
212087,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Annual Average 2014,12-01-2013,8.02,
547569,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Summer 2017,06-01-2017,8.35,
669635,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Summer 2020,06-01-2020,6.57,
742365,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Annual Average 2021,01-01-2021,6.23,
173165,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Winter 2010-11,12-01-2010,13.49,
174253,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Annual Average 2013,12-01-2012,9.12,
173607,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Summer 2009,06-01-2009,11.45,
334155,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Winter 2014-15,12-01-2014,8.23,
547585,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2017,01-01-2017,7.04,
650925,386,Ozone (O3),Mean,ppb,UHF42,104,Pelham - Throgs Neck,Summer 2019,06-01-2019,30.87,
650939,386,Ozone (O3),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2019,06-01-2019,29.34,
175438,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Winter 2012-13,12-01-2012,30.65,
643382,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Summer 2019,06-01-2019,18.84,
667184,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304,Upper West Side,Winter 2019-20,12-01-2019,28.11,
667052,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,5,Staten Island,Winter 2019-20,12-01-2019,17.87,
667303,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Annual Average 2020,01-01-2020,10.56,
412066,386,Ozone (O3),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2016,06-01-2016,33.05,
172167,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2011,06-01-2011,16.24,
172133,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2010,06-01-2010,16.81,
122154,386,Ozone (O3),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,2-Year Summer Average 2009-2010,06-01-2009,28.29,
670907,386,Ozone (O3),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2020,06-01-2020,30.47,
171623,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2009-10,12-01-2009,23.79,
171691,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2011-12,12-01-2011,21.5,
171618,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 2009-10,12-01-2009,23.39,
171686,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Winter 2011-12,12-01-2011,20.53,
211781,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,409,Southeast Queens,Annual Average 2014,12-01-2013,17.28,
602854,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,205,Sunset Park,Winter 2017-18,12-01-2017,25.76,
742380,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2021,01-01-2021,6.28,
174275,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2013,12-01-2012,8.13,
173629,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2009,06-01-2009,9.96,
173187,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2010-11,12-01-2010,12.13,
334170,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2014-15,12-01-2014,8.82,
174270,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Annual Average 2013,12-01-2012,7.85,
173182,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Winter 2010-11,12-01-2010,11.44,
173624,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Summer 2009,06-01-2009,9.65,
547570,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Annual Average 2017,01-01-2017,6.75,
669637,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Annual Average 2020,01-01-2020,5.78,
334102,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,205,Sunset Park,Annual Average 2015,01-01-2015,9.45,
334153,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409,Southeast Queens,Annual Average 2015,01-01-2015,7.9,
177264,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504,South Beach - Tottenville,Winter 2010-11,12-01-2010,11.47,
178584,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2013,12-01-2012,9.36,
177240,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Winter 2010-11,12-01-2010,14.57,
177786,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Summer 2009,06-01-2009,12.74,
547420,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2017,01-01-2017,8.22,
179587,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,5,Staten Island,Summer 2012,06-01-2012,9.9,
410788,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211,Williamsburg - Bushwick,Annual Average 2016,12/31/2015,8.67,
177916,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304,Upper West Side,Summer 2012,06-01-2012,11.44,
